,IC Mean,IC Std.,IC_IR,t-stat(IC),p-value(IC),IC Skew,IC Kurtosis
5D,0.03104802617986258,0.06964440879768145,0.4458078791372583,15.786887281426912,2.4152231157681218e-51,-0.5751259990211068,1.4326283733380896
10D,0.03833113059657536,0.07191037224523007,0.5330403584319913,18.87595183670221,3.8643300427078194e-70,-0.7401195576825945,1.6820661155776238
20D,0.047022892510240125,0.06821483269736493,0.6893353051066937,24.410646985171024,5.573198068880235e-108,-0.38014931877046987,0.5819293009555633
