,IC Mean,IC Std.,IC_IR,t-stat(IC),p-value(IC),IC Skew,IC Kurtosis
20D,0.02510504914718384,0.0681256710332568,0.3685108530516837,13.049655628267246,1.3765018742054183e-36,-0.22988623555038037,-0.4965282668691531
40D,0.031252040742230466,0.06816359380544201,0.4584858132837383,16.235836541182394,6.045233653762961e-54,-0.09686582370456973,-0.4690919418230024
