,IC Mean,IC Std.,IC_IR,t-stat(IC),p-value(IC),IC Skew,IC Kurtosis
5D,-0.04335338886841235,0.12469456646794572,-0.3476766477997008,-12.316785682095498,5.452387860182384e-33,0.07885756984257361,-0.10569238318490193
10D,-0.05103946987210911,0.12494126704483029,-0.4085077018932071,-14.471785337169601,5.208164446477196e-44,0.10076439602968659,0.05749609814062007
20D,-0.06387309001952785,0.12049617749408555,-0.5300839524362755,-18.778743056212036,1.5928816230542185e-69,0.23153810522738422,-0.35771148241243544
