,IC Mean,IC Std.,IC_IR,t-stat(IC),p-value(IC),IC Skew,IC Kurtosis
5D,-0.07450542438485339,0.17048034404302218,-0.4370323441279031,-15.476129243020303,1.4304290933928383e-49,0.3179858316145155,0.48361475388901454
10D,-0.08876175604694517,0.17152015821206348,-0.5175004324401463,-18.32565411547364,1.2035917701298126e-66,0.3976862655390619,0.52889436145988
20D,-0.1065510150684269,0.1750380488998329,-0.6087305916521137,-21.556283961974245,6.485086243918727e-88,0.25613971409022546,0.3735012855533979
