,IC Mean,IC Std.,IC_IR,t-stat(IC),p-value(IC),IC Skew,IC Kurtosis
5D,-0.03975230262026358,0.11368847498036733,-0.349659916074416,-11.194579417374142,1.594326503894296e-27,0.0028477102518464515,-0.3804174649774055
10D,-0.04816984528743564,0.11444103429981879,-0.4209141029015666,-13.475826470831626,3.1862633258790444e-38,-0.20748868179831315,-0.3038436368346815
20D,-0.06099436163949667,0.1192541151269594,-0.5114654666177458,-16.37488462954995,1.0475588760298213e-53,-0.4265309453838736,0.08437914475315988
