,IC Mean,IC Std.,IC_IR,t-stat(IC),p-value(IC),IC Skew,IC Kurtosis
5D,-0.051744529662754626,0.08016022580696372,-0.6455137712231774,-22.867957411903994,5.066274754483709e-97,0.20606921951445034,0.44200638100085365
10D,-0.06155807813156923,0.08441227107068514,-0.7292550875692201,-25.83457554026612,2.4114964794241615e-118,0.6335168383054397,2.2238975328958297
20D,-0.07447966084224698,0.08575142733896636,-0.8685530160079636,-30.76934105125986,2.375989848192719e-155,0.5985555702705209,1.1288223423673607
